Availability,Categories,Description,Gender,Image,Link,Name,NumberOfReviews,PromoPrice,Rate,RegularPrice
Available online,Twarz/Pielęgnacja twarzy/Kremy do twarzy,"krem przeciwzmarszczkowy na dzień i na noc, 50+50 ml, nr kat. 369987",kobieta,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/314362_369987_1280_720.png,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Perfecta-Neo-Elixir-Mlodosci-krem-przeciwzmarszczkowy-na-dzien-i-na-noc-50-50-ml,369987,9223",PERFECTA Neo-Elixir Młodości,None,24.99,None,33.99
Available online,Twarz/Pielęgnacja twarzy/Kremy pod oczy,"rozświetlający krem pod oczy15 ml, nr kat. 369984",None,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/319321_369984_1280_720.png,"https://www.rossmann.pl/Produkt/Kremy-pod-oczy/Perfecta-Neo-Elixir-Mlodosci-rozswietlajacy-krem-pod-oczy-15-ml,369984,9224",PERFECTA Neo-Elixir Młodości,None,19.99,None,26.99
Available online,Twarz/Pielęgnacja twarzy/Kremy do twarzy,"krem przeciwzmarszczkowy na dzień i na noc, 50+50 ml, nr kat. 358087",kobieta,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/319311_358087_1280_720.png,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Perfecta-Bio-Retinol-krem-przeciwzmarszczkowy-na-dzien-i-na-noc-50-50-ml,358087,9223",PERFECTA Bio Retinol,None,23.49,None,31.99
Available online,Twarz/Pielęgnacja twarzy/Kremy pod oczy,"krem przeciwzmarszczkowy pod oczy, 50/60+15 ml, nr kat. 358089",None,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/319317_358089_1280_720.png,"https://www.rossmann.pl/Produkt/Kremy-pod-oczy/Perfecta-Bio-Retinol-krem-przeciwzmarszczkowy-pod-oczy-50-60-15-ml,358089,9224",PERFECTA Bio Retinol,None,19.99,None,26.99
Available online,Twarz/Pielęgnacja twarzy/Kremy do twarzy,"krem przeciwzmarszczkowy na noc50 ml, nr kat. 178246",kobieta,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/302379_178246_1280_720_97817.png,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Nivea-Hyaluron-Cellular-Filler-krem-przeciwzmarszczkowy-na-noc-50-ml,178246,9223",NIVEA Hyaluron Cellular Filler,None,42.99,None,59.99
Available online,Twarz/Pielęgnacja twarzy/Kremy do twarzy,"krem przeciwzmarszczkowy na dzień SPF 1550 ml, nr kat. 178242",kobieta,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/302375_178242_1280_720_97817.png,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Nivea-Hyaluron-Cellular-Filler-krem-przeciwzmarszczkowy-na-dzien-SPF-15-50-ml,178242,9223",NIVEA Hyaluron Cellular Filler,None,42.99,None,59.99
Available online,Twarz/Pielęgnacja twarzy/Serum,"serum do twarzy odpowiednie dla wszystkich typów skóry30 ml, nr kat. 394829",None,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/343298_394829_1280_720.png,"https://www.rossmann.pl/Produkt/Serum/Nivea-Cellular-PROFESSIONAL-serum-do-twarzy-odpowiednie-dla-wszystkich-typow-skory-30-ml,394829,9225",NIVEA Cellular PROFESSIONAL,None,43.99,None,59.99
Available online,Twarz/Pielęgnacja twarzy/Serum,"serum do twarzy odpowiednie dla wszystkich typów skóry30 ml, nr kat. 394828",None,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/343293_394828_1280_720.png,"https://www.rossmann.pl/Produkt/Serum/Nivea-Cellular-PROFESSIONAL-serum-do-twarzy-odpowiednie-dla-wszystkich-typow-skory-30-ml,394828,9225",NIVEA Cellular PROFESSIONAL,None,43.99,None,59.99
Available online,Twarz/Pielęgnacja twarzy/Kremy do twarzy,"krem z 7 wyciągami odmładzającymi na noc50 ml, nr kat. 368091",kobieta,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/310143_368091_1280_720_101513.png,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Onlybio-Ritualia-Tranquilty-krem-z-7-wyciagami-odmladzajacymi-na-noc-50-ml,368091,9223",ONLYBIO Ritualia Tranquilty,None,33.99,None,53.99
Available online,Twarz/Pielęgnacja twarzy/Kremy pod oczy,"przeciwzmarszczkowy krem pod oczy15 ml, nr kat. 178250",None,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/302392_178250_1280_720_97817.png,"https://www.rossmann.pl/Produkt/Kremy-pod-oczy/Nivea-Hyaluron-Cellular-Filler-przeciwzmarszczkowy-krem-pod-oczy-15-ml,178250,9224",NIVEA Hyaluron Cellular Filler,None,42.99,None,59.99
